obs,wave,ageDiff,int_corr,imprace,samerace,match,dec,dec_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,met_o,goal,exphappy,expnum,attr,sinc,intel,fun,amb,shar,like,prob,attr1_2,sinc1_2,intel1_2,fun1_2,amb1_2,shar1_2,you_call,them_cal,numdat_3
1,1,6,0.14,2,0,0,1,0,35,20,20,20,0,5,6,8,8,8,8,6,7,4,2,2,3,2,6,9,7,7,6,5,7,6,19.44,16.67,13.89,22.22,11.11,16.67,1,1,
2,1,1,0.54,2,0,0,1,0,60,0,0,40,0,0,7,8,10,7,7,5,8,4,2,2,3,2,7,8,7,8,5,6,7,5,19.44,16.67,13.89,22.22,11.11,16.67,1,1,
3,1,1,0.16,2,1,1,1,1,19,18,19,18,14,12,10,10,10,10,10,10,10,10,1,2,3,2,5,8,9,8,5,7,7,,19.44,16.67,13.89,22.22,11.11,16.67,1,1,
4,1,2,0.61,2,0,1,1,1,30,5,15,40,5,5,7,8,9,8,9,8,7,7,2,2,3,2,7,6,8,7,6,8,7,6,19.44,16.67,13.89,22.22,11.11,16.67,1,1,
5,1,3,0.21,2,0,1,1,1,30,10,20,10,10,20,8,7,9,6,9,7,8,6,2,2,3,2,5,6,7,7,6,6,6,6,19.44,16.67,13.89,22.22,11.11,16.67,1,1,
6,1,4,0.25,2,0,0,0,1,50,0,30,10,0,10,7,7,8,8,7,7,7,6,2,2,3,2,4,9,7,4,6,4,6,5,19.44,16.67,13.89,22.22,11.11,16.67,1,1,
7,1,9,0.34,2,0,0,1,0,35,15,25,10,5,10,3,6,7,5,8,7,2,1,2,2,3,2,7,6,7,4,6,7,6,5,19.44,16.67,13.89,22.22,11.11,16.67,1,1,
8,1,6,0.5,2,0,0,0,0,33.33,11.11,11.11,11.11,11.11,22.22,6,7,5,6,8,6,7,5,2,2,3,2,4,9,7,6,5,6,6,7,19.44,16.67,13.89,22.22,11.11,16.67,1,1,
9,1,7,0.28,2,0,1,1,1,50,0,25,10,0,15,7,7,8,8,8,9,6.5,8,2,2,3,2,7,6,8,9,8,8,7,7,19.44,16.67,13.89,22.22,11.11,16.67,1,1,
10,1,3,-0.36,2,0,0,1,0,100,0,0,0,0,0,6,6,6,6,6,6,6,6,2,2,3,2,5,6,6,8,10,8,6,6,19.44,16.67,13.89,22.22,11.11,16.67,1,1,
11,1,3,0.29,2,1,0,0,0,35,20,20,20,0,5,8,7,6,9,7,4,7,2,2,1,4,5,5,7,8,4,6,3,6,4,18.92,18.92,21.62,27.03,5.41,8.11,0,0,
12,1,2,0.18,2,1,0,0,0,60,0,0,40,0,0,7,6,10,6,6,5,8,4,2,1,4,5,8,5,6,6,9,6,7,3,18.92,18.92,21.62,27.03,5.41,8.11,0,0,
13,1,2,0.1,2,0,0,0,1,19,18,19,18,14,12,10,10,10,10,10,10,10,10,2,1,4,5,5,8,9,6,3,4,6,7,18.92,18.92,21.62,27.03,5.41,8.11,0,0,
14,1,1,-0.21,2,1,1,1,1,30,5,15,40,5,5,9,9,9,9,9,9,9,7,2,1,4,5,7,9,7,6,5,7,7,8,18.92,18.92,21.62,27.03,5.41,8.11,0,0,
15,1,0,0.32,2,0,0,0,1,30,10,20,10,10,20,10,10,10,10,7,8,10,1,1,1,4,5,6,8,7,9,7,8,8,6,18.92,18.92,21.62,27.03,5.41,8.11,0,0,
16,1,1,0.73,2,1,0,0,1,50,0,30,10,0,10,7,8,7,5,7,7,7,5,2,1,4,5,8,7,8,3,6,2,6,5,18.92,18.92,21.62,27.03,5.41,8.11,0,0,
17,1,6,0.6,2,1,0,1,0,35,15,25,10,5,10,5,3,4,3,5,3,4,3,2,1,4,5,7,5,9,6,7,9,8,7,18.92,18.92,21.62,27.03,5.41,8.11,0,0,
18,1,3,0.07,2,1,0,0,1,33.33,11.11,11.11,11.11,11.11,22.22,7,7,7,7,7,5,7,6,2,1,4,5,5,8,7,5,9,5,5,6,18.92,18.92,21.62,27.03,5.41,8.11,0,0,
19,1,4,0.11,2,1,1,1,1,50,0,25,10,0,15,8,6,9,9,8,7,8,8,2,1,4,5,7,6,8,9,4,5,5,6,18.92,18.92,21.62,27.03,5.41,8.11,0,0,
20,1,0,0.39,2,1,0,1,0,100,0,0,0,0,0,6,5,7,7,9,7,6,9,2,1,4,5,6,7,8,7,9,8,8,7,18.92,18.92,21.62,27.03,5.41,8.11,0,0,
21,1,2,-0.24,8,1,0,0,0,35,20,20,20,0,5,7,8,6,5,8,4,5,2,1,6,4,2,7,9,10,7,8,9,8,7,,,,,,,,,
22,1,3,-0.14,8,1,0,0,0,60,0,0,40,0,0,6,7,10,6,6,5,7,3,2,6,4,2,9,7,9,8,9,7,8,7,,,,,,,,,
23,1,3,0.09,8,0,0,0,1,19,18,19,18,14,12,10,10,10,10,10,10,10,10,2,6,4,2,7,9,9,7,9,7,8,7,,,,,,,,,
24,1,2,-0.04,8,1,0,0,1,30,5,15,40,5,5,7,9,8,8,8,8,7,7,2,6,4,2,9,7,9,7,9,7,8,7,,,,,,,,,
25,1,1,-0.14,8,0,0,0,1,30,10,20,10,10,20,6,10,8,6,,,6,1,2,6,4,2,9,10,10,10,10,10,9,,,,,,,,,,
26,1,0,-0.3,8,1,0,0,1,50,0,30,10,0,10,7,6,6,6,6,6,6,7,2,6,4,2,8,10,10,7,9,9,8,,,,,,,,,,
27,1,5,-0.26,8,1,0,0,0,35,15,25,10,5,10,6,3,5,4,5,4,2,2,2,6,4,2,8,9,10,7,7,9,8,7,,,,,,,,,
28,1,2,0.29,8,1,0,0,0,33.33,11.11,11.11,11.11,11.11,22.22,4,5,6,4,6,4,5,1,2,6,4,2,7,9,9,8,9,7,8,7,,,,,,,,,
29,1,3,-0.15,8,1,0,0,1,50,0,25,10,0,15,7,7,6,8,7,7,7,7,2,6,4,2,9,9,9,9,9,9,9,7,,,,,,,,,
30,1,1,-0.47,8,1,0,0,0,100,0,0,0,0,0,5,6,8,5,8,6,5,5,2,6,4,2,8,7,9,7,9,7,8,7,,,,,,,,,
31,1,4,-0.18,1,1,0,0,0,35,20,20,20,0,5,6,7,8,7,7,5,6,3,2,1,1,2,4,10,8,5,8,7,6,7,24.14,13.79,20.69,27.59,10.34,3.45,0,0,
32,1,1,-0.18,1,1,0,0,0,60,0,0,40,0,0,6,5,10,6,6,5,6,3,1,1,1,2,8,7,8,10,7,8,8,1,24.14,13.79,20.69,27.59,10.34,3.45,0,0,
33,1,1,0.05,1,0,0,0,1,19,18,19,18,14,12,10,10,10,10,10,10,10,10,,1,1,2,4,7,8,8,6,7,4,1,24.14,13.79,20.69,27.59,10.34,3.45,0,0,
34,1,0,-0.18,1,1,1,1,1,30,5,15,40,5,5,7,7,7,9,9,9,8,10,1,1,1,2,8,10,7,10,7,10,8,10,24.14,13.79,20.69,27.59,10.34,3.45,0,0,
35,1,1,0.21,1,0,0,0,1,30,10,20,10,10,20,8,8,9,8,8,9,9,7,2,1,1,2,6,9,8,9,8,9,7,7,24.14,13.79,20.69,27.59,10.34,3.45,0,0,
